18, (900, 179, 1037, 261, 'truck', 8)
18, (1057, 303, 1082, 352, 'person', 9)
19, (548, 441, 589, 564, 'person', 1)
19, (1380, 454, 1425, 591, 'person', 2)
19, (204, 539, 249, 675, 'person', 3)
19, (1733, 549, 1794, 686, 'person', 4)
19, (79, 206, 110, 284, 'person', 5)
19, (1358, 221, 1391, 307, 'person', 6)
19, (1057, 303, 1082, 352, 'person', 9)
19, (1495, 377, 1543, 436, 'person', 10)
20, (548, 441, 589, 564, 'person', 1)
20, (1380, 454, 1425, 591, 'person', 2)
20, (204, 539, 250, 675, 'person', 3)
20, (1733, 549, 1794, 686, 'person', 4)
20, (79, 206, 110, 284, 'person', 5)
20, (1358, 222, 1391, 307, 'person', 6)
20, (1057, 303, 1082, 352, 'person', 9)
20, (1495, 377, 1543, 436, 'person', 10)
21, (548, 441, 589, 564, 'person', 1)
21, (1380, 454, 1425, 591, 'person', 2)
21, (204, 539, 250, 675, 'person', 3)
21, (1733, 549, 1794, 686, 'person', 4)
21, (79, 206, 110, 284, 'person', 5)
21, (1358, 222, 1391, 307, 'person', 6)
21, (1057, 303, 1082, 352, 'person', 9)
21, (1495, 377, 1543, 436, 'person', 10)
22, (547, 440, 590, 565, 'person', 1)
22, (1380, 454, 1425, 591, 'person', 2)
22, (203, 539, 250, 675, 'person', 3)
22, (1733, 549, 1794, 686, 'person', 4)
22, (79, 206, 110, 284, 'person', 5)
22, (1358, 222, 1391, 308, 'person', 6)
22, (1057, 303, 1082, 352, 'person', 9)
22, (1495, 377, 1544, 436, 'person', 10)
23, (547, 441, 590, 565, 'person', 1)
23, (1380, 454, 1425, 592, 'person', 2)
23, (203, 538, 250, 673, 'person', 3)
23, (1733, 549, 1794, 686, 'person', 4)
23, (79, 206, 110, 284, 'person', 5)
23, (1358, 222, 1391, 308, 'person', 6)
23, (1057, 303, 1081, 352, 'person', 9)
23, (1495, 377, 1544, 436, 'person', 10)
24, (547, 441, 589, 565, 'person', 1)
24, (1379, 455, 1425, 592, 'person', 2)
24, (203, 536, 250, 669, 'person', 3)
24, (1733, 549, 1794, 686, 'person', 4)
24, (80, 206, 111, 284, 'person', 5)
24, (1358, 220, 1390, 307, 'person', 6)
24, (901, 179, 1036, 260, 'truck', 8)
24, (1496, 375, 1545, 436, 'person', 10)
25, (546, 441, 589, 566, 'person', 1)
25, (1379, 455, 1424, 592, 'person', 2)
25, (203, 535, 250, 669, 'person', 3)
25, (1733, 549, 1794, 686, 'person', 4)
25, (79, 206, 110, 284, 'person', 5)
25, (1358, 221, 1390, 307, 'person', 6)
25, (901, 179, 1036, 260, 'truck', 8)
25, (1495, 376, 1544, 436, 'person', 10)
26, (546, 442, 589, 566, 'person', 1)
26, (1378, 455, 1424, 593, 'person', 2)
26, (203, 533, 250, 668, 'person', 3)
26, (1733, 549, 1794, 686, 'person', 4)
26, (79, 206, 110, 284, 'person', 5)
26, (1357, 220, 1390, 306, 'person', 6)
26, (1495, 376, 1544, 436, 'person', 10)
27, (546, 442, 589, 566, 'person', 1)
27, (1378, 455, 1425, 593, 'person', 2)
27, (203, 533, 251, 668, 'person', 3)
27, (1733, 549, 1794, 686, 'person', 4)
27, (79, 206, 110, 284, 'person', 5)
27, (1357, 219, 1390, 306, 'person', 6)
27, (1495, 376, 1544, 437, 'person', 10)
28, (546, 441, 588, 565, 'person', 1)
28, (1378, 455, 1424, 592, 'person', 2)
28, (203, 533, 251, 668, 'person', 3)
28, (1733, 549, 1794, 686, 'person', 4)
28, (79, 206, 110, 284, 'person', 5)
28, (1358, 221, 1390, 307, 'person', 6)
28, (1495, 376, 1544, 437, 'person', 10)
29, (547, 441, 588, 564, 'person', 1)
29, (1378, 455, 1424, 592, 'person', 2)
29, (204, 533, 251, 668, 'person', 3)
29, (1733, 549, 1794, 686, 'person', 4)
29, (79, 206, 110, 284, 'person', 5)
29, (1358, 222, 1390, 307, 'person', 6)
29, (901, 179, 1036, 260, 'truck', 8)
29, (1495, 375, 1544, 436, 'person', 10)
30, (547, 441, 588, 564, 'person', 1)
30, (1378, 455, 1424, 592, 'person', 2)
30, (204, 533, 252, 667, 'person', 3)
30, (1733, 549, 1794, 686, 'person', 4)
30, (79, 205, 110, 283, 'person', 5)
30, (1358, 222, 1391, 307, 'person', 6)
30, (901, 179, 1036, 260, 'truck', 8)
30, (1495, 375, 1544, 436, 'person', 10)
31, (547, 441, 588, 564, 'person', 1)
31, (1378, 455, 1425, 592, 'person', 2)
31, (205, 534, 253, 667, 'person', 3)
31, (1733, 549, 1794, 686, 'person', 4)
31, (79, 205, 110, 282, 'person', 5)
31, (1358, 222, 1391, 307, 'person', 6)
31, (901, 179, 1036, 260, 'truck', 8)
31, (1058, 305, 1081, 352, 'person', 9)
31, (1495, 375, 1544, 436, 'person', 10)
32, (547, 441, 588, 564, 'person', 1)
32, (1378, 455, 1425, 592, 'person', 2)
32, (206, 534, 253, 667, 'person', 3)
32, (1733, 549, 1794, 686, 'person', 4)
32, (79, 205, 110, 282, 'person', 5)
32, (1358, 222, 1391, 308, 'person', 6)
32, (900, 179, 1037, 260, 'truck', 8)
32, (1058, 305, 1081, 352, 'person', 9)
32, (1495, 375, 1544, 436, 'person', 10)
33, (547, 441, 588, 564, 'person', 1)
33, (1378, 455, 1425, 592, 'person', 2)
33, (206, 535, 253, 666, 'person', 3)
33, (1733, 550, 1793, 686, 'person', 4)
33, (78, 205, 110, 282, 'person', 5)
33, (1359, 222, 1390, 307, 'person', 6)
33, (900, 179, 1037, 260, 'truck', 8)
33, (1058, 305, 1081, 353, 'person', 9)
33, (1495, 375, 1544, 436, 'person', 10)
34, (547, 441, 588, 564, 'person', 1)
34, (1378, 455, 1425, 592, 'person', 2)
34, (206, 535, 254, 666, 'person', 3)
34, (1732, 550, 1793, 686, 'person', 4)
34, (78, 205, 109, 282, 'person', 5)
34, (1359, 222, 1390, 307, 'person', 6)
34, (900, 179, 1037, 260, 'truck', 8)
34, (1058, 305, 1081, 353, 'person', 9)
34, (1495, 375, 1544, 436, 'person', 10)
35, (547, 441, 588, 564, 'person', 1)
35, (1378, 455, 1425, 592, 'person', 2)
35, (207, 536, 255, 665, 'person', 3)
35, (1733, 550, 1793, 687, 'person', 4)
35, (77, 205, 109, 283, 'person', 5)
35, (1359, 222, 1390, 307, 'person', 6)
35, (900, 179, 1037, 260, 'truck', 8)
35, (1058, 305, 1081, 353, 'person', 9)
35, (1496, 375, 1543, 436, 'person', 10)
36, (547, 441, 588, 564, 'person', 1)
36, (1378, 455, 1425, 592, 'person', 2)
36, (209, 536, 257, 664, 'person', 3)
36, (1733, 551, 1794, 687, 'person', 4)
36, (77, 205, 110, 283, 'person', 5)
36, (1358, 221, 1390, 307, 'person', 6)
36, (1058, 305, 1081, 353, 'person', 9)
36, (1496, 375, 1543, 436, 'person', 10)
37, (547, 441, 588, 564, 'person', 1)
37, (1378, 455, 1425, 592, 'person', 2)
37, (211, 534, 259, 661, 'person', 3)
37, (1732, 551, 1793, 687, 'person', 4)
37, (77, 205, 110, 283, 'person', 5)
37, (1357, 221, 1390, 307, 'person', 6)
37, (1058, 305, 1081, 353, 'person', 9)
37, (1496, 375, 1543, 436, 'person', 10)
38, (547, 441, 588, 564, 'person', 1)
38, (1378, 455, 1425, 592, 'person', 2)
38, (211, 533, 260, 661, 'person', 3)
38, (1732, 551, 1793, 687, 'person', 4)
38, (77, 206, 110, 284, 'person', 5)
38, (1357, 221, 1390, 306, 'person', 6)
38, (1058, 305, 1081, 353, 'person', 9)
38, (1496, 375, 1543, 436, 'person', 10)
39, (547, 441, 588, 564, 'person', 1)
39, (1378, 455, 1425, 592, 'person', 2)
39, (213, 531, 263, 660, 'person', 3)
39, (1733, 551, 1793, 687, 'person', 4)
39, (77, 206, 110, 284, 'person', 5)
39, (1357, 220, 1390, 306, 'person', 6)
39, (1057, 304, 1082, 352, 'person', 9)
39, (1496, 375, 1543, 436, 'person', 10)
40, (547, 441, 588, 564, 'person', 1)
40, (1378, 455, 1425, 592, 'person', 2)
40, (215, 530, 266, 659, 'person', 3)
40, (1733, 551, 1794, 687, 'person', 4)
40, (77, 206, 110, 284, 'person', 5)
40, (1357, 220, 1389, 306, 'person', 6)
40, (1057, 303, 1082, 352, 'person', 9)
40, (1496, 375, 1543, 436, 'person', 10)
41, (547, 441, 588, 564, 'person', 1)
41, (1378, 455, 1425, 592, 'person', 2)
41, (219, 529, 270, 658, 'person', 3)
41, (1733, 551, 1794, 687, 'person', 4)
41, (77, 205, 110, 283, 'person', 5)
41, (1356, 220, 1389, 305, 'person', 6)
41, (1057, 303, 1082, 352, 'person', 9)
41, (1496, 375, 1543, 436, 'person', 10)
42, (547, 441, 588, 564, 'person', 1)
42, (1378, 455, 1425, 592, 'person', 2)
42, (222, 530, 274, 657, 'person', 3)
42, (1733, 551, 1794, 687, 'person', 4)
42, (77, 204, 110, 283, 'person', 5)
42, (1356, 220, 1389, 305, 'person', 6)
42, (1057, 303, 1082, 352, 'person', 9)
42, (1496, 375, 1543, 436, 'person', 10)
